,79bd5,f6bf0
sci003_25,0,0
sci003_26,0,0
sci004_0,0,0
sci004_1,0,0
sci004_2,0,0
sci004_3,0,0
sci004_4,0,0
sci004_5,0,0
sci004_6,0,0
sci004_7,0,0
sci004_8,0,0
sci004_9,0,0
sci004_10,0,0
sci004_11,0,0
sci004_12,0,0
sci004_13,0,0
sci004_14,0,0
sci004_15,0,0
sci004_16,0,0
sci004_17,0,0
sci004_18,0,0
sci004_19,0,0
sci004_20,0,0
sci004_21,0,0
sci004_22,0,0
sci004_23,0,0
sci004_24,0,0
sci004_25,0,0
sci004_26,0,0
sci004_27,0,0
sci004_28,0,0
sci004_29,0,0
sci004_30,0,0
sci004_31,0,0
sci004_32,0,0
sci004_33,0,0
sci005_0,0,0
sci005_1,0,0
sci005_2,0,0
sci005_3,0,0
sci005_4,0,0
sci005_5,0,0
sci005_6,0,0
sci005_7,0,0
sci005_8,0,0
sci005_9,0,0
sci005_10,0,0
sci005_11,0,0
sci005_12,0,0
sci005_13,0,0
sci005_14,0,0
sci005_15,0,0
sci005_16,0,0
sci005_17,0,0
sci005_18,0,0
sci006_0,0,0
sci006_1,0,0
sci006_2,0,0
sci006_3,0,0
sci006_4,0,0
sci006_5,0,0
sci006_6,0,0
sci006_7,0,0
sci006_8,0,0
sci006_9,0,0
sci006_10,0,0
sci006_11,0,0
sci006_12,0,0
sci006_13,0,0
sci006_14,0,0
sci006_15,0,0
sci006_16,0,0
sci006_17,0,0
sci006_18,0,0
sci006_19,0,0
sci006_20,0,0
sci006_21,0,0
sci006_22,0,0
sci006_23,0,0
sci006_24,0,0
sci006_25,0,0
sci006_26,0,0
sci006_27,0,0
sci006_28,0,0
sci006_29,0,0
sci006_30,0,0
sci006_31,0,0
sci006_32,0,0
sci006_33,0,0
sci006_34,0,0
sci007_0,0,0
sci007_1,0,0
sci007_2,0,0
sci007_3,0,0
sci007_4,0,0
sci007_5,0,0
sci007_6,0,0
sci007_7,0,0
sci007_8,0,0
sci007_9,0,0
sci007_10,0,0
sci007_11,0,0
sci007_12,0,0
sci007_13,0,0
sci007_14,0,0
sci007_15,0,0
sci007_16,0,0
sci007_17,0,0
sci007_18,0,0
sci007_19,0,0
sci007_20,0,0
sci007_21,0,0
sci007_22,0,0
sci007_23,0,0
sci007_24,0,0
sci007_25,0,0
sci007_26,0,0
sci007_27,0,0
sci007_28,0,0
sci007_29,0,0
sci007_30,0,0
sci007_31,0,0
sci007_32,0,0
sci007_33,0,0
sci007_34,0,0
sci007_35,0,0
sci007_36,0,0
sci007_37,0,0
sci007_38,0,0
sci007_39,0,0
sci008_0,0,0
sci008_1,0,0
sci008_2,0,0
sci008_3,0,0
sci008_4,0,0
sci008_5,0,0
sci008_6,0,0
sci008_7,0,0
sci008_8,0,0
sci008_9,0,0
sci008_10,0,0
sci008_11,0,0
sci008_12,0,0
sci008_13,0,0
sci008_14,0,0
sci008_15,0,0
sci008_16,0,0
sci008_17,0,0
sci008_18,0,0
sci008_19,0,0
sci008_20,0,0
sci008_21,0,0
sci008_22,0,0
sci008_23,0,0
sci008_24,0,0
sci008_25,0,0
sci008_26,0,0
sci008_27,0,0
sci008_28,0,0
sci008_29,0,0
sci008_30,0,0
sci008_31,0,0
sci008_32,0,0
sci008_33,0,0
sci008_34,0,0
sci009_0,0,0
sci009_1,0,0
sci009_2,0,0
sci009_3,0,0
sci009_4,0,0
sci009_5,0,0
sci009_6,0,0
sci009_7,0,0
sci009_8,0,0
sci009_9,0,0
sci009_10,0,0
sci009_11,0,0
sci009_12,0,0
sci009_13,0,0
sci009_14,0,0
sci009_15,0,0
sci009_16,0,0
sci009_17,0,0
sci009_18,0,0
sci009_19,0,0
sci009_20,0,0
sci009_21,0,0
sci009_22,0,0
sci009_23,0,0
sci009_24,0,0
sci009_25,0,0
sci009_26,0,0
sci009_27,0,0
sci009_28,0,0
sci009_29,0,0
sci009_30,0,0
sci009_31,0,0
sci009_32,0,0
sci009_33,0,0
sci009_34,0,0
sci009_35,0,0
sci009_36,0,0
sci009_37,0,0
sci009_38,0,0
sci009_39,0,0
sci009_40,0,0
sci009_41,0,0
sci009_42,0,0
sci010_0,0,0
sci010_1,0,0
sci010_2,0,0
sci010_3,0,0
sci010_4,0,0
sci010_5,0,0
sci010_6,0,0
sci010_7,0,0
sci010_8,0,0
sci010_9,0,0
sci010_10,0,0
sci010_11,0,0
sci010_12,0,0
sci010_13,0,0
sci010_14,0,0
sci010_15,0,0
sci010_16,0,0
sci010_17,0,0
sci010_18,0,0
sci010_19,0,0
sci010_20,0,0
sci010_21,0,0
sci010_22,0,0
sci010_23,0,0
sci010_24,0,0
sci010_25,0,0
sci010_26,0,0
sci010_27,0,0
sci010_28,0,0
sci010_29,0,0
sci010_30,0,0
sci010_31,0,0
sci011_0,0,0
sci011_1,0,0
sci011_2,0,0
sci011_3,0,0
sci011_4,0,0
sci011_5,0,0
sci011_6,0,0
sci011_7,0,0
sci011_8,0,0
sci011_9,0,0
sci011_10,0,0
sci011_11,0,0
sci011_12,0,0
sci011_13,0,0
sci011_14,0,0
sci011_15,0,0
sci011_16,0,0
sci011_17,0,0
sci011_18,0,0
sci011_19,0,0
sci011_20,0,0
sci011_21,0,0
sci011_22,0,0
sci011_23,0,0
sci011_24,0,0
sci011_25,0,0
sci011_26,0,0
sci011_27,0,0
sci011_28,0,0
sci011_29,0,0
sci011_30,0,0
sci011_31,0,0
sci011_32,0,0
sci011_33,0,0
sci012_0,0,0
sci012_1,0,0
sci012_2,0,0
sci012_3,0,0
sci012_4,0,0
sci012_5,0,0
sci012_6,0,0
sci012_7,0,0
sci012_8,0,0
sci012_9,0,0
sci012_10,0,0
sci012_11,0,0
sci012_12,0,0
sci012_13,0,0
sci012_14,0,0
sci012_15,0,0
sci012_16,0,0
sci012_17,0,0
sci012_18,0,0
sci012_19,0,0
sci012_20,0,0
sci012_21,0,0
sci012_22,0,0
sci012_23,0,0
sci012_24,0,0
sci012_25,0,0
sci012_26,0,0
sci012_27,0,0
sci012_28,0,0
sci012_29,0,0
sci012_30,0,0
sci012_31,0,0
sci012_32,0,0
sci012_33,0,0
sci012_34,0,0
sci012_35,0,0
sci013_0,0,0
sci013_1,0,0
sci013_2,0,0
sci013_3,0,0
sci013_4,0,0
sci013_5,0,0
sci013_6,0,0
sci013_7,0,0
sci013_8,0,0
sci013_9,0,0
sci013_10,0,0
sci013_11,0,0
sci013_12,0,0
sci013_13,0,0
sci013_14,0,0
sci013_15,0,0
sci013_16,0,0
sci013_17,0,0
sci013_18,0,0
sci013_19,0,0
sci013_20,0,0
sci013_21,0,0
sci013_22,0,0
sci013_23,0,0
sci013_24,0,0
sci013_25,0,0
sci013_26,0,0
sci013_27,0,0
sci013_28,0,0
sci013_29,0,0
sci013_30,0,0
sci013_31,0,0
sci013_32,0,0
sci013_33,0,0
sci013_34,0,0
sci013_35,0,0
sci013_36,0,0
sci013_37,0,0
sci013_38,0,0
sci013_39,0,0
sci013_40,0,0
sci013_41,0,0
sci013_42,0,0
sci013_43,0,0
sci013_44,0,0
sci013_45,0,0
sci013_46,0,0
sci013_47,0,0
sci013_48,0,0
sci014_0,0,0
sci014_1,0,0
sci014_2,0,0
sci014_3,0,0
sci014_4,0,0
sci014_5,0,0
sci014_6,0,0
sci014_7,0,0
